cluster,wlthindf,latitude,longitude
10001,1.0375100000000002,11.6706448114,92.74579928370001
10002,0.247635,9.14384381515,92.82675163520001
10003,-0.047075,9.21224558605,92.7536328447
10004,0.1109,9.165413484530001,92.7426958972
10005,0.23220000000000002,8.30735625773,93.0937924407
10006,0.12911499999999998,0.0,0.0
10007,0.18405,7.016967976889999,93.8932263934
10009,0.33391499999999996,9.22090276937,92.78153016040001
10010,0.9983299999999999,11.556803952000001,92.70947212600001
10011,0.574805,7.028410294460001,93.88343039520001
10016,0.537445,9.1949376382,92.8004316003
10017,0.1637,12.3714479459,92.7836649333
10018,0.69846,8.055605746260001,93.54389184979999
10019,0.5200450000000001,10.605859752799999,92.5300211892
10021,0.181135,9.20011709488,92.7991028366
10022,-0.058485,0.0,0.0
10023,-0.227885,12.7497916069,92.9099028397
10027,-1.20679,12.4722363487,92.8835172685
10029,0.48739,9.23327136968,92.7909641529
10033,0.47144,13.2503647852,93.0051045189
10038,-0.26295,13.2612721551,92.93969982709999
10040,0.76987,12.494193308,92.8584382575
10042,-0.58167,13.081167537899999,93.01698297729999
10043,-0.36351500000000003,13.251110190999999,93.031760673
10044,-0.1169,11.7273040922,92.71925710309999
10046,0.7729950000000001,11.5956500733,92.6173030455
10047,0.14063,9.19579721149,92.7963476141
10048,0.917025,11.6654409156,92.7373574445
10053,1.246905,11.59504,92.730238
10056,0.10901,12.872404825599999,92.8891982542
10060,0.39785000000000004,9.18531014236,92.777644986
10061,-0.24573,0.0,0.0
10062,0.42769999999999997,9.19634691831,92.81806648860001
10067,0.45926,12.880364240999999,92.8980260459
10069,0.629555,11.7160991652,92.71774417629999
10070,-0.0015600000000000006,8.182933786900001,93.5239743808
10071,-0.0216,13.260609128299999,92.962424214
10072,1.07781,13.258592755999999,92.9864843538
10073,1.12405,11.707483,92.754598
10074,0.907195,7.994927752430001,93.53420016
10075,-0.3748,13.256246,93.004893
10076,0.84331,7.01592455115,93.9345545477
10077,-0.308405,0.0,0.0
10078,0.20807499999999998,7.00543265288,93.9004011215
10079,0.03198,12.7214925042,92.86370446469999
10080,0.24981,13.220663446700001,93.02419916059999
10082,0.9843550000000001,11.6469013322,92.7332621075
10085,-0.562275,12.515572368900001,92.9083505894
10088,1.02717,11.661076541400002,92.74217685299999
10089,0.32062,11.54416274,92.65700182440001
10090,0.4632,9.20545930235,92.729492531
10094,1.33362,11.6030803406,92.72188271559999
10096,0.36179,8.07657671805,93.54934542069999
10097,0.9178550000000001,11.611136198399999,92.7147614157
10099,1.0823749999999999,11.6745955395,92.7361500586
10101,-0.10339999999999999,12.506813237000001,92.9091704607
10103,-0.6852050000000001,0.0,0.0
10105,-0.08838,12.531887870699999,92.9692749975
10109,-0.441665,12.7328465287,92.87783198780001
10111,1.159105,11.6650401582,92.7388259316
10113,0.51115,6.989289900910001,93.891761003
10115,0.059329999999999994,12.308099150799999,92.76462297370001
10116,0.93108,11.7720118142,92.7069585239
10119,1.17351,11.671239,92.733078
10121,0.577375,10.5636727977,92.5238439741
